Line Number	Encoder Layer	Translation
"Er ist hässlich wie die Nacht.
"	1	It's the same as it is.
"Er ist hässlich wie die Nacht.
"	2	- What?
"Er ist hässlich wie die Nacht.
"	3	It's a nice day.
"Er ist hässlich wie die Nacht.
"	4	He's like the night.
"Er ist hässlich wie die Nacht.
"	5	He's like the night.
"Er ist hässlich wie die Nacht.
"	6	He's like the night.
"Er ist hässlich wie die Nacht.
"	7	He's like the night.
"Er ist hässlich wie die Nacht.
"	8	He's as ugly as the night.
"Er ist hässlich wie die Nacht.
"	9	He's as ugly as the night.
"Er ist hässlich wie die Nacht.
"	10	He's as ugly as the night.
"Er ist hässlich wie die Nacht.
"	11	He's as ugly as night.
"Er ist hässlich wie die Nacht.
"	12	He's as ugly as the night.
"Er ist hässlich wie die Nacht.
"	13	He's as ugly as night.
"Er ist hässlich wie die Nacht.
"	14	He's as ugly as night.
"Er ist hässlich wie die Nacht.
"	15	He's ugly as the night.
"Er ist hässlich wie die Nacht.
"	16	He's ugly as night.
"Er ist hässlich wie die Nacht.
"	17	He's ugly as the night.
"Er ist hässlich wie die Nacht.
"	18	He's ugly as night.
"Er ist hässlich wie die Nacht.
"	19	He's ugly as night.
"Er ist hässlich wie die Nacht.
"	20	He's ugly as the night.
"Er ist hässlich wie die Nacht.
"	21	He's ugly as the night.
"Er ist hässlich wie die Nacht.
"	22	He's ugly as the night.
"Er ist hässlich wie die Nacht.
"	23	He's ugly as night.
"Er ist hässlich wie die Nacht.
"	24	He's ugly as night.
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	0	you, in a your own, on?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	1	You don't know what you've got in your hand?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	2	- What?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	3	- I don't know.
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	4	Don't you see that she's like the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	5	Don't you see that she's like the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	6	Don't you see that she's like the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	7	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	8	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	9	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	10	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	11	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	12	Don't you see that she's as ugly as the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	13	Don't you see that she's ugly like the night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	14	Don't you see that she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	15	Don't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	16	Don't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	17	Don't you see that she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	18	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	19	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	20	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	21	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	22	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	23	Can't you see she's ugly as night?
"Siehst du nicht, dass sie hässlich wie die Nacht ist?
"	24	Can't you see she's ugly as night?
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	0	The same-on-a-in-now-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a. in.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	1	The police in the police-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a- Sie haben Sie jetzt eine einzige eine Auszüben Sie
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	2	- I- - I- - I Einein­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	3	The-Storm.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	4	The police were trying to get the criminal to come out of the building.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	5	The police were grabbing the criminal in a night-and-night action. 
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	6	The police caught the criminal in a night-and-navel action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	7	The police caught the criminal in a night-and-navel action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	8	The police caught the criminal in a night-and-nebel action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	9	The police caught the criminal in a night-and-night action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	10	The police caught the criminal in a night-and-night action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	11	The police caught the criminal in a night-and-night action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	12	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	13	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	14	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	15	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	16	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	17	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	18	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	19	The police caught the criminal in a night and fog action.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	20	The police caught the criminal in a night and fog operation.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	21	The police caught the criminal in a night and fog operation.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	22	The police caught the criminal in a night and fog operation.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	23	The police caught the criminal in a night and fog operation.
"Die Polizei schnappte den Verbrecher in einer Nacht-und-Nebel-Aktion.
"	24	The police caught the criminal in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	0	A-n in-land-a-a-a-a-a-a-a-a-a-a-a-a-a-a-a now.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	1	He's a freshman now.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	2	- And- - In a -
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	3	He was in a small town in a small town in a small town in a small town in a small town in a small town in a small town in a small town in a small town in a
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	4	He fled in a night-and-night-action in the country. 
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	5	He fled in a night-and-night action to the country. 
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	6	He fled in a night-and-navel action to the outside.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	7	He fled in a night-and-night action to the outside world.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	8	He fled in a night-and-night action to the outside world.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	9	He fled in a night-and-night action to the outside world.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	10	He fled in a night-and-night action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	11	He fled in a night-and-night action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	12	He fled in a night-and-mist action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	13	He fled in a night and fog action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	14	He fled in a night and fog action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	15	He fled in a night and fog action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	16	He fled in a night and fog action.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	17	He fled in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	18	He fled in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	19	He fled in a night and fog operation abroad.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	20	He fled abroad in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	21	He fled abroad in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	22	He fled abroad in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	23	He fled abroad in a night and fog operation.
"Er floh in einer Nacht-und-Nebel-Aktion ins Ausland.
"	24	He fled abroad in a night and fog operation.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	0	The solution is to put the same.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	1	I have the same thing for the O's and I've got the same thing.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	2	I have the Und für Ich habe ich meine.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	3	I have the.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	4	I have taken the night to myself for the examination and for the examination.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	5	I have taken the night to my ears and for the examination. 
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	6	I have been studying the night and for the examination.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	7	I have been studying the night and studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	8	I have been studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	9	I have been studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	10	I've been studying for the exam all night.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	11	I've been studying for the exam all night.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	12	I spent the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	13	I spent the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	14	I've been working my ass off all night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	15	I've been working all night and studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	16	I've been working my ass off studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	17	I've been working my ass off all night, studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	18	I've been working my ass off studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	19	I spent the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	20	I spent the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	21	I've been working my ass off all night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	22	I've been working through the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	23	I've been working through the night studying for the exam.
"Ich habe mir die Nacht um die Ohren geschlagen und für die Prüfung gelernt.
"	24	I've been working through the night studying for the exam.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	0	I'm sure it's the same. I'm sure it's the same.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	1	I was the one who had the oats and the oats.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	2	I was and I' Ich hab ich meine ich meine.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	3	I was a-
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	4	I was a girl, and I was celebrating and I was having the night of my birthday.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	5	I was celebrating and I was having the night to myself.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	6	I was celebrating and I was having the night off.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	7	I was celebrating and I was beating my head against the wall.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	8	I was celebrating and I was beating my head against the wall.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	9	I was celebrating and I was knocking my head off the night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	10	I was celebrating and I was beating the night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	11	I was celebrating and I was knocking on my door all night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	12	I was celebrating and I was having a hard time getting through the night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	13	I was celebrating and I was having a night of it.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	14	I was celebrating and I was having a nightmare.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	15	I was partying and I was having a night of it.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	16	I was celebrating and I've been fighting the night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	17	I was partying and I was having a night of it.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	18	I was partying and I was having a good time.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	19	I was partying and I was having a good night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	20	I was out partying and I was up all night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	21	I was out partying and I was up all night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	22	I was partying and I was beating my ears all night.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	23	I was partying and I was beating the night to the ears.
"Ich war feiern und habe mir die Nacht um die Ohren geschlagen.
"	24	I was partying and I was beating the night to the ears.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	0	in a bit more in a fur fur.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	1	If you're not in the only one, you can't be a girl, you've got a fucking fucking fucking fucking fucking one.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	2	You can' - Sie.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	3	If you'd like to see a girl,
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	4	If the child is in the brunnes, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	5	If the child is in the brunnes, you can't do anything more.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	6	If the child has fallen in the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	7	If the child has fallen in the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	8	If the child has fallen into the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	9	If the child has fallen into the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	10	If the child has fallen into the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	11	If the child has fallen into the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	12	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	13	When the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	14	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	15	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	16	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	17	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	18	If the child has fallen into the well, you can do nothing.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	19	If the child has fallen into the well, you can't do anything.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	20	If the child has fallen into the well, there is nothing you can do.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	21	If the child has fallen into the well, there's nothing you can do.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	22	If the child has fallen into the well, there's nothing you can do.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	23	If the child has fallen into the well, there's nothing you can do.
"Wenn das Kind in den Brunnen gefallen ist, kannst du nichts mehr machen.
"	24	If the child has fallen into the well, there's nothing you can do.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	0	in a similar way, in a more in a.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	1	Not the one that's in the only one's a's a's a's a's a's a's a's a's a's a's a's a's a's a's a's a's a's a's a's.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	2	- I - ist.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	3	I'm not a girl.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	4	Don't wait until the child is in the brunns.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	5	Don't wait until the child is in the brunnes.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	6	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	7	Don't wait until the child has fallen in the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	8	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	9	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	10	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	11	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	12	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	13	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	14	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	15	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	16	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	17	Don't wait until the kid's fallen in the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	18	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	19	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	20	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	21	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	22	Don't wait until the child has fallen into the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	23	Don't wait until the kid falls in the well.
"Warte nicht, bis das Kind in den Brunnen gefallen ist.
"	24	Don't wait until the child has fallen into the well.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	0	in a t-y-l-n- a-n-
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	1	I'm the only one who knows what I'm doing.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	2	I was my only place
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	3	I was in a small-town.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	4	When I saw the task, I stood like an animal before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	5	When I saw the task, I stood like an animal before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	6	When I saw the task, I stood like a little donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	7	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	8	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	9	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	10	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	11	When I saw the task, I stood like an ass before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	12	When I saw the task, I stood like an ass before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	13	When I saw the task, I stood like an ass before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	14	When I saw the task, I stood like an ass before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	15	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	16	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	17	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	18	When I saw the task, I stood like an ass before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	19	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	20	When I saw the assignment, I was like a donkey in front of the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	21	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	22	When I saw the task, I stood like a donkey before the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	23	When I saw the assignment, I was like a donkey in front of the mountain.
"Als ich die Aufgabe sah, stand ich wie ein Esel vor dem Berg.
"	24	When I saw the task, I stood like a donkey before the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	0	I'm not a straight- I. I have. I have a.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	1	I'm not going to be the only one.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	2	I' I' Ich möchte ich nur eine
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	3	I really don't know.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	4	I really don't want to be like an animal standing in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	5	I really don't want to be like an animal standing in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	6	I really don't want to be like a little girl standing in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	7	I really don't want to stand like a goat in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	8	I really don't want to be like a donkey.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	9	I really don't want to be like a donkey.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	10	I really don't want to be like a donkey in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	11	I really don't want to stand like an ass before the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	12	I really don't want to be like an ass before the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	13	I really don't want to stand like an ass in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	14	I really don't want to stand like an ass in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	15	I really don't want to be a mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	16	I really don't want to be a fool.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	17	I really don't want to be a fool.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	18	I really don't want to be a mountain of a man.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	19	I really don't want to be a mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	20	I really don't want to be a donkey in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	21	I really don't want to be a donkey in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	22	I really don't want to stand like a donkey in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	23	I really don't want to stand like a donkey in front of the mountain.
"Ich möchte wirklich nicht wie ein Esel vor dem Berg stehen.
"	24	I really don't want to stand like a donkey in front of the mountain.
"Er war eine große Nummer im Geschäft.
"	0	Er Er. - Er. - Er. - is a.
"Er war eine große Nummer im Geschäft.
"	1	He was a big- -
"Er war eine große Nummer im Geschäft.
"	2	
"Er war eine große Nummer im Geschäft.
"	3	It was a great idea.
"Er war eine große Nummer im Geschäft.
"	4	He was a big number in the business.
"Er war eine große Nummer im Geschäft.
"	5	He was a big number in the business.
"Er war eine große Nummer im Geschäft.
"	6	He was a big number in the business.
"Er war eine große Nummer im Geschäft.
"	7	He was a big number in the business.
"Er war eine große Nummer im Geschäft.
"	8	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	9	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	10	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	11	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	12	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	13	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	14	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	15	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	16	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	17	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	18	He was a big deal in the business.
"Er war eine große Nummer im Geschäft.
"	19	He was a big deal in the business.
